collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024991534042,2024,991534042,1,1,3,2,39,7,3,1,3,0,0,-1,0,-1,-1,3,1,0,1,-1
2024430342145,2024,430342145,2,1,1,2,25,5,3,0,0,0,0,0,1,4,E01028532,-1,0,0.02417,0.97583,1
2024471442093,2024,471442093,2,1,1,1,49,8,3,0,0,0,0,0,1,8,E01031491,3,1,0,1,1
2024101511084,2024,101511084,1,1,1,2,39,7,3,0,0,0,0,0,9,1,E01008859,3,1,0,1,1
2024161531062,2024,161531062,1,1,1,1,59,9,3,0,0,0,0,0,1,5,E01012902,3,1,0,1,1
2024421434943,2024,421434943,2,1,1,1,62,9,2,0,0,0,0,0,3,5,E01034081,5,1,1,0,4
2024010533954,2024,010533954,1,1,1,1,44,7,3,0,0,0,0,0,5,5,E01021790,3,1,0,1,3
2024131453448,2024,131453448,1,2,2,2,35,6,2,0,0,1,0,0,9,4,E01011447,7,1,1,0,1
2024010511909,2024,010511909,2,1,1,1,34,6,3,0,0,0,0,0,3,5,E01032741,3,1,0,1,4
2024070726166,2024,070726166,2,1,1,1,58,9,2,0,0,0,0,0,3,8,E01014131,7,1,1,0,4
2024041431001,2024,041431001,1,1,1,1,64,9,3,0,0,0,0,0,9,7,E01025089,3,1,0,1,4
2024221507586,2024,221507586,2,1,1,2,20,4,2,0,0,0,0,0,19,8,E01014002,7,1,1,0,3
2024201460272,2024,201460272,1,1,3,2,24,5,3,6,9,0,0,-1,0,9,E01010328,3,1,0,1,1
2024010497396,2024,010497396,1,1,1,2,44,7,3,0,0,0,0,0,2,6,E01004163,3,1,0,1,1
2024010497757,2024,010497757,1,5,2,2,-1,-1,3,0,0,2,0,0,9,3,E01001436,3,1,0,1,1
2024010516342,2024,010516342,2,2,1,1,20,4,3,0,0,0,0,0,9,8,E01024440,3,1,0,1,2
2024161433687,2024,161433687,1,1,1,1,25,5,2,0,0,0,0,0,9,-1,-1,5,1,1,0,-1
2024501530928,2024,501530928,1,1,1,1,79,11,3,0,0,0,0,0,9,9,E01019925,3,1,0,1,1
2024401476511,2024,401476511,2,1,2,1,15,3,3,0,0,0,4,0,11,3,E01015713,3,1,0,1,1
2024461485418,2024,461485418,1,2,1,1,21,5,3,0,0,0,0,0,3,6,E01024276,3,1,0,1,3
2024622400553,2024,622400553,1,1,1,1,43,7,3,0,0,0,0,0,9,-1,-1,-1,0,0.07398,0.92602,-1
2024401427857,2024,401427857,1,1,1,1,44,7,2,0,0,0,0,0,90,2,E01015743,5,1,1,0,1
202460Q033880,2024,60Q033880,1,1,2,2,66,10,2,0,0,0,4,0,11,-1,-1,-1,0,1,0,-1
2024010544936,2024,010544936,1,1,1,1,36,7,3,0,0,0,0,0,9,2,E01024154,3,1,0,1,4
2024101398247,2024,101398247,2,2,2,1,58,9,3,0,0,1,0,0,9,10,E01008548,3,1,0,1,1
202417M104724,2024,17M104724,2,1,1,2,37,7,3,0,0,0,0,0,9,1,E01012018,-1,0,0.03551,0.96449,1
2024201501710,2024,201501710,1,1,1,1,20,4,3,0,0,0,0,0,9,3,E01015757,3,1,0,1,5
2024547863324,2024,547863324,1,1,1,2,39,7,3,0,0,0,0,0,9,7,E01015560,-1,0,0.04234,0.95766,1
2024991463793,2024,991463793,1,1,2,1,58,9,2,0,0,1,0,0,9,4,-1,5,1,1,0,1
2024010512488,2024,010512488,1,1,3,2,35,6,3,1,9,0,0,0,0,8,E01031732,3,1,0,1,4
2024010533787,2024,010533787,1,1,1,1,23,5,3,0,0,0,0,0,9,7,E01003752,3,1,0,1,2
2024061510233,2024,061510233,2,1,1,1,21,5,3,0,0,0,0,0,9,2,E01005366,3,1,0,1,1
2024201439875,2024,201439875,2,1,2,2,28,6,3,0,0,1,0,0,9,10,E01010166,3,1,0,1,2
2024131529520,2024,131529520,1,1,3,2,52,8,2,10,9,0,0,-1,0,7,E01010977,7,1,1,0,1
2024010516970,2024,010516970,2,1,1,1,49,8,2,0,0,0,0,0,1,4,E01000875,6,1,1,0,1
2024371479913,2024,371479913,2,1,1,1,26,6,3,0,0,0,0,0,1,6,E01029992,3,1,0,1,1
2024201431872,2024,201431872,2,1,1,1,25,5,2,0,0,0,0,0,2,5,E01010223,7,1,1,0,3
2024302400743,2024,302400743,1,1,1,2,43,7,3,0,0,0,0,0,9,10,E01033532,-1,0,0.13864,0.86136,1
2024211467308,2024,211467308,2,1,1,1,20,4,3,0,0,0,0,0,9,-1,-1,3,1,0,1,-1
2024221425428,2024,221425428,1,1,1,1,69,10,3,0,0,0,0,0,9,5,E01035067,3,1,0,1,2
2024411395996,2024,411395996,2,1,1,2,19,4,3,0,0,0,0,0,9,10,E01023412,3,1,0,1,2
