collision_index,collision_year,collision_ref_no,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre_historic,vehicle_manoeuvre,vehicle_direction_from,vehicle_direction_to,vehicle_location_restricted_lane_historic,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,vehicle_left_hand_drive,journey_purpose_of_driver_historic,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,generic_make_model,driver_imd_decile,lsoa_of_driver,escooter_flag,driver_distance_banding
2024471526976,2024,471526976,2,4,0,-1,19,4,8,-1,0,8,0,0,0,0,3,1,-1,9,1,23,5,234,1,16,MAKE AND MODEL REDACTED,8,E01020954,0,1
2024471493223,2024,471493223,2,9,0,-1,2,0,0,-1,0,0,0,0,0,0,1,1,-1,6,-1,-1,-1,2198,1,15,MAKE AND MODEL REDACTED,-1,-1,0,-1
2024010504128,2024,010504128,2,9,0,2,2,0,0,0,0,0,0,0,0,0,2,1,6,6,3,-1,-1,2198,1,18,MAKE AND MODEL REDACTED,-1,-1,0,-1
2024302400896,2024,302400896,2,9,0,18,19,1,4,0,0,0,0,0,0,0,1,1,6,6,1,56,9,6496,1,0,MAKE AND MODEL REDACTED,5,E01019782,0,2
2024631472488,2024,631472488,2,90,0,-1,19,7,3,-1,0,8,0,0,0,0,4,1,-1,9,1,55,8,2184,2,0,MAKE AND MODEL REDACTED,7,W01000623,0,4
2024471512096,2024,471512096,1,4,0,-1,19,2,6,-1,0,0,2,0,0,0,4,1,-1,9,1,57,9,449,1,0,MAKE AND MODEL REDACTED,5,E01021074,0,1
2024211495435,2024,211495435,1,2,0,-1,3,3,3,-1,0,1,5,0,0,0,2,1,-1,6,2,17,4,49,1,21,MAKE AND MODEL REDACTED,3,E01029752,0,1
2024131459645,2024,131459645,1,9,0,-1,10,1,5,-1,0,8,0,0,0,0,3,1,-1,9,1,44,7,1591,1,5,HYUNDAI TUCSON,7,E01011942,0,1
2024401457067,2024,401457067,1,9,0,-1,6,7,3,-1,0,0,0,0,0,0,1,1,-1,6,1,26,6,1685,2,9,HYUNDAI TUCSON,10,E01017611,0,3
2024031497068,2024,031497068,1,9,0,-1,19,1,5,-1,0,0,5,0,1,4,1,1,-1,9,1,48,8,1598,1,3,HYUNDAI TUCSON,1,-1,0,5
2024061401609,2024,061401609,1,9,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,9,-1,2,2,52,8,1598,8,1,HYUNDAI TUCSON,-1,-1,0,-1
2024061470881,2024,061470881,2,9,0,-1,9,6,3,-1,0,8,0,0,0,0,3,1,-1,9,1,48,8,1591,1,6,HYUNDAI TUCSON,-1,-1,0,-1
2024320720049,2024,320720049,2,9,0,4,4,3,7,0,0,1,0,0,0,0,2,1,6,6,2,54,8,1598,1,1,HYUNDAI TUCSON,-1,-1,0,-1
2024451400107,2024,451400107,1,9,0,-1,7,1,5,-1,0,5,0,0,0,0,1,1,-1,7,1,34,6,1991,2,18,HYUNDAI TUCSON,5,E01030433,0,1
2024201444629,2024,201444629,1,9,0,-1,7,4,6,-1,0,6,0,0,0,0,4,1,-1,9,2,43,7,1598,8,2,HYUNDAI TUCSON,-1,-1,0,-1
2024211519984,2024,211519984,1,9,0,-1,19,5,1,-1,0,0,0,0,0,0,1,1,-1,1,1,19,4,1598,8,0,HYUNDAI TUCSON,-1,-1,0,-1
2024052401059,2024,052401059,2,9,0,4,4,6,2,0,0,1,0,0,0,0,2,1,6,6,2,67,10,1991,2,20,HYUNDAI TUCSON,1,E01006483,0,2
2024161509942,2024,161509942,1,9,0,-1,3,4,8,-1,0,0,0,0,0,0,2,9,-1,6,1,39,7,1591,1,5,HYUNDAI TUCSON,6,E01012961,0,2
2024991422567,2024,991422567,2,9,0,-1,19,1,5,-1,0,0,0,0,0,0,3,1,-1,1,2,51,8,1598,8,1,HYUNDAI TUCSON,5,-1,0,4
2024201455379,2024,201455379,1,9,0,-1,3,8,4,-1,0,1,0,0,0,0,9,9,-1,6,1,25,5,1685,2,6,HYUNDAI TUCSON,3,E01010020,0,1
2024101532988,2024,101532988,1,9,0,-1,10,7,2,-1,0,1,0,0,0,0,1,1,-1,9,2,46,8,1598,1,2,HYUNDAI TUCSON,-1,-1,0,-1
2024991460150,2024,991460150,2,9,0,-1,19,5,1,-1,0,0,0,0,0,0,3,1,-1,6,2,42,7,1598,8,0,HYUNDAI TUCSON,10,-1,0,1
2024430317096,2024,430317096,1,9,0,17,19,1,5,0,0,0,0,0,1,11,1,1,6,6,1,73,10,1598,8,2,HYUNDAI TUCSON,6,E01028796,0,2
2024440043989,2024,440043989,2,9,0,10,10,5,3,0,0,8,0,0,0,0,1,1,6,6,1,68,10,1685,2,6,HYUNDAI TUCSON,9,E01032604,0,2
2024451399993,2024,451399993,1,9,0,-1,9,1,5,-1,0,1,0,0,0,0,1,1,-1,9,1,58,9,1591,1,4,HYUNDAI TUCSON,2,E01003243,0,4
2024522402255,2024,522402255,2,9,0,12,12,4,8,0,0,8,0,0,0,0,0,1,6,6,3,-1,-1,1591,1,6,HYUNDAI TUCSON,-1,-1,0,-1
2024501510158,2024,501510158,1,9,0,-1,19,5,8,-1,0,0,1,0,0,0,3,1,-1,9,2,66,10,1591,1,4,HYUNDAI TUCSON,5,E01020072,0,1
