age,total_deaths
20,37
18,36
19,34
28,33
33,31
30,30
32,29
59,28
27,27
17,26
22,26
56,26
36,26
57,25
80,25
65,25
26,25
29,25
42,25
31,25
60,24
53,24
84,24
21,24
52,24
23,23
38,23
25,23
64,23
50,23
62,22
51,22
81,22
74,21
40,20
61,20
35,20
44,20
85,20
39,20
24,20
79,19
54,19
34,19
86,19
58,19
55,18
49,18
78,17
37,17
16,17
77,17
70,17
41,17
46,17
82,16
63,16
66,16
75,16
68,15
43,15
67,15
45,15
69,15
48,14
72,14
83,13
47,13
87,13
73,12
89,11
76,10
88,8
91,7
71,7
15,6
90,6
0,5
4,5
93,5
5,5
13,4
7,4
9,3
92,3
1,3
6,2
14,2
11,2
12,2
8,2
95,1
3,1
2,1
97,1
96,1
94,1
