time_of_day,total_accidents,fatal,serious
"12 AM",1615,54,462
"1 AM",1064,32,287
"2 AM",774,29,209
"3 AM",642,18,173
"4 AM",590,23,149
"5 AM",940,27,235
"6 AM",1976,37,528
"7 AM",4061,50,944
"8 AM",6603,58,1224
"9 AM",4458,69,961
"10 AM",4421,65,1024
"11 AM",5121,74,1181
"12 PM",5661,77,1313
"1 PM",5942,89,1419
"2 PM",6435,80,1496
"3 PM",8328,92,1857
"4 PM",8487,94,1918
"5 PM",8784,91,1992
"6 PM",7159,83,1593
"7 PM",5476,89,1304
"8 PM",3872,74,988
"9 PM",3383,74,887
"10 PM",2899,62,803
"11 PM",2205,61,615
